File,RecordID,EventID,Scope,UTC,KST,Description
powershell_classic.evtx,49,400,선행 연관,2026-09-15T01:53:26.0525056Z,2026-09-15 10:53:26.0525056 +09:00,다운로드 명령을 인자로 가진 PowerShell 엔진 시작
powershell_operational.evtx,75,4104,선행 연관,2026-09-15T01:53:26.1183816Z,2026-09-15 10:53:26.1183816 +09:00,employee SID에서 다운로드·조건부 실행 코드 처리
powershell_classic.evtx,50,403,선행 연관,2026-09-15T01:53:28.4121079Z,2026-09-15 10:53:28.4121079 +09:00,동일 PowerShell 엔진 종료 / 다운로드 성공 결과 미제공
powershell_operational.evtx,83,4104,경계 이후,2026-09-15T18:00:27.6838776Z,2026-09-16 03:00:27.6838776 +09:00,관리자 SID에서 VulnAppSvc 시작 명령
security.evtx,4326,4798,경계 이후,2026-09-15T18:01:56.0541281Z,2026-09-16 03:01:56.0541281 +09:00,WmiPrvSE의 로컬 그룹 조회 시작
security.evtx,4350,4624,경계 이후,2026-09-15T18:10:30.5031341Z,2026-09-16 03:10:30.5031341 +09:00,FILE-SRV$ 인바운드 네트워크 로그온 시작
security.evtx,4365,4634,경계 이후,2026-09-15T18:10:41.2437988Z,2026-09-16 03:10:41.2437988 +09:00,FILE-SRV$ 마지막 대응 로그오프
security.evtx,4368,4797,경계 이후,2026-09-15T18:11:57.5546754Z,2026-09-16 03:11:57.5546754 +09:00,employee의 빈 암호 여부 조회 시작
application.evtx,979,1109,경계 이후,2026-09-15T18:12:01.8247211Z,2026-09-16 03:12:01.8247211 +09:00,시스템 익스플로러.exe 호환성 실패
security.evtx,4373,4798,경계 이후,2026-09-15T18:12:28.0566498Z,2026-09-16 03:12:28.0566498 +09:00,Regshot의 로컬 그룹 조회
security.evtx,4385,4797,경계 이후,2026-09-15T18:12:51.6309781Z,2026-09-16 03:12:51.6309781 +09:00,employee의 빈 암호 여부 조회 마지막 기록
security.evtx,4390,4648,경계 이후,2026-09-15T18:13:02.3278094Z,2026-09-16 03:13:02.3278094 +09:00,lsass.exe의 로컬 명시적 자격증명 사용
application.evtx,990,1002,경계 이후,2026-09-15T18:15:41.5877218Z,2026-09-16 03:15:41.5877218 +09:00,explorer.exe 응답 없음
